name,sido,sigungu,address,phone,longitude,latitude
상계동_수락산역점,서울특별시,노원구,"서울특별시 노원구 동일로 1668 1층 (상계동, 롯데리아)",000-0000-0001,127.055635,37.6771768
방학1동_방학역점,서울특별시,도봉구,서울특별시 도봉구 도봉로 729 (방학동),000-0000-0002,127.043287,37.6696497
상계동_마들역점,서울특별시,노원구,"서울특별시 노원구 동일로 1530 (상계동, 다모아빌딩)",000-0000-0003,127.058041,37.6650575
방학1동_홈플러스앞점,서울특별시,도봉구,"서울특별시 도봉구 도봉로 677 103호 (방학동, 우리들메디빌딩)",000-0000-0004,127.042434,37.6649018
방학동_신방학점,서울특별시,도봉구,서울특별시 도봉구 방학로 172 1층(방학동),000-0000-0005,127.033264,37.6625621
중계4동_상계역점,서울특별시,노원구,서울특별시 노원구 한글비석로 384 (중계동),000-0000-0006,127.07328,37.6598236
쌍문2동_쌍문세라믹점,서울특별시,도봉구,서울특별시 도봉구 도당로 2 (쌍문동),000-0000-0007,127.035268,37.658399
쌍문2동_보건소사거리점,서울특별시,도봉구,서울특별시 도봉구 도봉로 581 1층 (쌍문동),000-0000-0008,127.039302,37.6570193
상계동_노원역9번출구점,서울특별시,노원구,"서울특별시 노원구 상계로3길 16 1층 (상계동, 동원빌딩)",000-0000-0009,127.062511,37.6569916
노원_노원7호선점,서울특별시,노원구,서울특별시 노원구 노해로 488 (상계동),000-0000-0010,127.062135,37.6543068
상계6.7동_노원역5번출구점,서울특별시,노원구,서울특별시 노원구 동일로 1392 1층(상계동),000-0000-0011,127.061352,37.6530459
중계1동_중계두타빌점,서울특별시,노원구,"서울특별시 노원구 한글비석로 245 B동 109호 (중계동, 두타빌)",000-0000-0012,127.076352,37.6495775
쌍문역_4번출구점,서울특별시,도봉구,서울특별시 도봉구 도봉로 479 1동 1층 (쌍문동),000-0000-0013,127.034391,37.6486417
창1동_쌍문역2번출구점,서울특별시,도봉구,서울특별시 도봉구 도봉로 464 1층 (창동),000-0000-0014,127.034186,37.646984
수유2동_주민센터점,서울특별시,강북구,"서울특별시 강북구 한천로 1122 (수유동, 영우빌딩)",000-0000-0015,127.020045,37.645113
진관동_구파발역점,서울특별시,은평구,"서울특별시 은평구 진관2로 29-21 1층 (진관동, 드림스퀘어)",000-0000-0016,126.914578,37.6441005
구파발_은평자이점,서울특별시,은평구,"서울특별시 은평구 통일로 1034 101동 1층 105호 (진관동, 은평스카이뷰자이)",000-0000-0017,126.91866,37.6414726
수유동_강북종합시장점,서울특별시,강북구,서울특별시 강북구 한천로 1056 (수유동),000-0000-0018,127.025482,37.6412378
중계동_브라운스톤점,서울특별시,노원구,"서울특별시 노원구 동일로203가길 29 브라운스톤오피스텔 상가 1층 117호(중계동,브라운스톤중계)",000-0000-0019,127.064231,37.6399171
창3동_신창시장점,서울특별시,도봉구,서울특별시 도봉구 덕릉로 236 (창동),000-0000-0020,127.038522,37.6387117
수유동_수유역8번출구점,서울특별시,강북구,서울특별시 강북구 도봉로 345 (수유동),000-0000-0021,127.0259,37.6386339
번1동_수유역3번출구점,서울특별시,강북구,서울특별시 강북구 도봉로 332 (번동),000-0000-0022,127.025356,37.6374357
수유동_수유역5번출구점,서울특별시,강북구,서울특별시 강북구 도봉로 327 1층 (수유동),000-0000-0023,127.024597,37.6373998
하계1동_하계역점,서울특별시,노원구,서울특별시 노원구 한글비석로 56 마성상가 1층 유플러스 (하계동),000-0000-0024,127.069517,37.6346705
미아동_수유시장점,서울특별시,강북구,서울특별시 강북구 도봉로 247-1 (미아동),000-0000-0025,127.024097,37.6305615
월계동_아이파크점,서울특별시,노원구,서울특별시 노원구 초안산로2라길 26 인덕센트럴아이파크상가 103-2호 1층 LG유플러스(월계동),000-0000-0026,127.057301,37.6302801
